<r>,lambda
0.9064634062968148,15.03733073709614
0.8871444461342913,14.54729156347176
0.769381510055299,14.151717256604218
0.9322002461512506,14.041313772452806
0.7726943462696897,13.92216800269747
0.9481853433491461,13.324347545998474
0.9649171898934185,12.63659894566554
0.8832474817439933,12.11153810816352
0.8119286359814721,11.606918575648843
0.7129380975840544,11.491614631163921
0.7867773611435244,11.383010037116444
0.8346264051795137,11.224675038880578
0.7135782951580087,11.068304197347981
0.8837775662323231,11.049348613194207
0.8442103060099901,10.80663796956218
0.8925220514783934,10.686974232236912
0.8199308865011766,10.630929654102829
0.9552291863047571,10.549065023272794
0.8473924488416751,10.509651411080416
0.9161514145939414,10.175936994211668
0.9148129622309598,10.10539610703989
0.9369034095370573,9.750443111073842
0.9444569139561646,9.604516520000532
0.94963125908892,9.36335151494309
0.8271347026997514,9.157582910306528
0.7924270418692759,9.043228394262663
0.9429896452232102,8.865676739661156
0.7906735003823573,8.580323419588934
0.9212298100175568,8.354110744211988
0.6963469010066557,8.315796962724654
0.9144301207491976,8.305577883288473
0.953789533939978,8.065616220952666
0.864900471991264,7.966581167582991
0.8947616369392063,7.939247876417005
0.8602959421548775,7.8016623248629715
0.9331123497019942,7.698920684499143
0.8468053521613047,7.565695447858171
0.8124891126786533,7.3215497846166375
0.9466615584299195,7.310312418143166
0.7527860158402969,7.193221673097823
0.7765718555162187,7.070024677783395
0.7204904785992945,6.963487994349741
0.750814244674376,6.94548305408775
0.6920561363902794,6.8686290575252045
0.7339953704430687,6.82317876237972
0.7785024275102607,6.758239546854241
0.6295824335276853,6.5966296891063
0.7452851463999176,6.59471580155892
0.7146166818867118,6.536368168315833
0.6510369172667165,6.509567586686275
0.8317481825878855,6.420416264153681
0.820104319818844,6.39274728786289
0.7951403393755562,6.363176793949379
0.7171749052478354,6.336300081742039
0.7814207109019661,6.2416776890031676
0.7711804955386304,6.176735375432673
0.8528356709322099,6.146120524267262
0.7884899016491368,6.106511925624617
0.7565418692928355,6.034156295985278
0.8735378520780386,5.913449926082761
0.8280459126713217,5.890637894295869
0.9378892461578063,5.68769051462343
0.7921270042843411,5.60696900222285
0.7974181449417648,5.582347202038449
0.9342731698632044,5.4213801068274154
0.9238556084417093,5.406527881132707
0.929484027796994,5.334638539601143
0.8267756375848001,5.2150279714422725
0.8367610224939933,5.075258057541658
0.9515819511804026,4.9974515058820845
0.766584003769356,4.765068837537495
0.7123034438314892,4.745386106214867
0.7538332781438144,4.644053393764625
0.6797421718267487,4.606755234516329
0.7661574876050509,4.553766134230429
0.7228092735421467,4.506826943913882
0.7195904663396361,4.4785189295991295
0.7398398107314538,4.469835476058707
0.671172855581836,4.4301864968812845
0.6920874002745422,4.4103563846154925
0.6099393071688075,4.3647914565341575
0.5770409251039963,4.310190190669936
0.5778626073679957,4.223333932735741
0.7915441683907053,4.193958419204444
0.5252599144550715,4.147081574230272
0.5492023206819742,4.099263386447694
0.6101479591344916,4.085557382998063
0.5268310973928131,4.0129167193946005
0.5058750954287824,3.957597485462257
0.5466275261860544,3.9336007684109973
0.5238637726478653,3.9255263157919487
0.5333494920789588,3.873939767396958
0.5435450797655296,3.8187539251399625
0.5717633406471694,3.7936422008334634
0.5571107654914292,3.750168466458329
0.613441693655163,3.7045155491947535
0.5091692198545481,3.6790117491040033
0.5453681153351247,3.5927474333538605
0.6545156348929049,3.5786036465834163
0.592166176938564,3.537042571212319
0.6889547112299672,3.504328268532007
0.5762552139331479,3.4764739108155105
0.5834389721900339,3.424543502006761
0.5947392227340723,3.384609720598173
0.6525361996439278,3.3838601369806858
0.704614420523111,3.3696708914866957
0.6623000896841716,3.218769900234635
0.6598423072311747,3.1107272854048085
0.7072175517857043,3.0309483530248666
0.5492250514111867,2.980801438337589
0.7562312229691098,2.908785831063155
0.6758202750126788,2.8999572180342583
0.8113876722693331,2.841866482878752
0.7236307784870913,2.8053395572716036
0.7546937399850147,2.7828305282306878
0.7584767181357822,2.767434326935688
0.6977813234911159,2.7478862262422483
0.7883561068093049,2.6955535894779983
0.5575190709228817,2.6432144839715606
0.7978171696695104,2.5317803688711633
0.8041816598394276,2.5160350727400416
0.6237728159436162,2.5046380844560123
0.6079744462156454,2.484301603808233
0.49047627053672965,2.458110269042909
0.6532179213122964,2.4320549317163813
0.7348987831606769,2.3820513841202193
0.6630739080187975,2.3552122445430657
0.7335130935201389,2.3331088391146695
0.577951589677671,2.3187134161328005
0.6176419234103946,2.2394445649021297
0.5918499467730678,2.1725392399097423
0.6743998437739178,2.1351121982552406
0.6336156010169448,2.103259307884333
0.6047665369494188,2.0495661038836537
0.7279713584426537,2.017994586260391
0.677041660383356,1.9602961611242107
0.6448917902999137,1.9532295005047045
0.6865738093353762,1.9262615744051395
0.6415497971639083,1.9227498363795172
0.7003880462217188,1.9020740711774677
0.610743309647865,1.8502607926609511
0.7101631271646219,1.8238599002702611
0.5841914648341916,1.809440120700183
0.5192034741591028,1.7867592106152703
0.49146359482034047,1.7780752901166548
0.6294719985993441,1.700231271841183
0.6996357993314706,1.691744463164554
0.7072758369336698,1.6564462918922667
0.5258047352793186,1.6241737790490374
0.5706033210972392,1.615720714272794
0.6814166377459114,1.5776936842315838
0.5458134257284343,1.5580210696571728
0.5802020852110829,1.5511772227571714
0.5766042744982328,1.4735229374813663
0.5840341586259952,1.3900420984039408
0.5702579360183472,1.377497946226461
0.58540494409179,1.3612517405488809
0.6684421084335458,1.351808733540938
0.5322009222442227,1.2867835599213824
0.589209577981735,1.2773689823431047
0.7115661461180097,1.264761152658844
0.5343741842243127,1.2407200831271072
0.5449640541904843,1.1980486625291353
0.6879960195647614,1.190988570345209
0.6609628093544417,1.176901452136752
0.5635044710197148,1.1518444499060996
0.7202892651669686,1.1225916965052745
0.6805645650343278,1.0717675001611777
0.6899571176318123,1.0668105029041794
0.5254618382550252,1.0415530809516735
