<r>,lambda
0.8872673998752427,15.093876772699176
0.8731541061157172,14.720818179865015
0.8735566341932529,14.45077585015732
0.9649901513094172,14.136881723515701
0.9226638351415335,14.080692920775602
0.9738657238547993,12.993373457649238
0.9694585996453077,12.942534713683976
0.8740195194659406,12.071364055074847
0.8056420616804988,11.677481844427342
0.8295411026252186,11.581976113575319
0.8135519984523417,11.365874087516024
0.7329819282173199,11.341739930682786
0.8039414696790864,11.305560035146184
0.6912493487404131,11.121651844564438
0.6773764375663426,11.063091567659267
0.8458573853178252,10.93239671795436
0.8975778433332939,10.726797412583727
0.9152128582830792,10.614680994058808
0.9106340067891545,10.343054325765108
0.8405675116197223,10.341060913920488
0.9389264856651958,9.84070181328251
0.9464878428583472,9.741960207925572
0.941570190799991,9.706653475300477
0.9072513048714484,9.317825916207294
0.8858684731006513,9.283778952990286
0.9200192770675443,9.048291421656566
0.9279953968740149,8.905212311003792
0.7742283767533646,8.870225814346004
0.8771566809459694,8.458552180689
0.8825753969428448,8.36371678630136
0.8979155864068776,8.324422429770534
0.8845520515833685,8.238667402041091
0.7801656966230578,8.192453265450647
0.8922269139584151,8.105533111075554
0.9517264155837918,8.012775204756386
0.8792798034833275,7.981273614493659
0.8754855620652764,7.645782929991039
0.9373580496198132,7.449346698661927
0.8143685448814452,7.367808608445892
0.7542008208308871,7.2466599216099805
0.8099207945105049,7.146510068007268
0.8230317475386691,7.075158215177806
0.7189941922989608,7.041433813937356
0.8161070104861671,6.960925864885253
0.814626323553302,6.7390148926588616
0.7240256794229645,6.71663871154854
0.7769766912866828,6.670211000602722
0.658103296395121,6.650119812035957
0.8072971935459363,6.5517959957124505
0.8120624904633511,6.544663484898181
0.8161816360831112,6.4891781397768185
0.8015591678887425,6.435090746117809
0.8148932438274001,6.401210211110515
0.7767251254330966,6.397630103807137
0.7292931455859021,6.385525257652739
0.7612437634179346,6.296034316213569
0.8274413588879438,6.247092066513192
0.7403864572943333,6.199053138822658
0.874255104611073,6.141892937589852
0.798566085418078,5.926115356127322
0.8999310292317159,5.756214854389892
0.7987891023048582,5.716960122483853
0.7721601297876898,5.618217487078336
0.8041481899448689,5.594211003330398
0.6727623459876044,5.548964655418348
0.9166061881500381,5.493821596694515
0.9648957417960287,5.422153922324349
0.666873130398665,5.411300253435183
0.7980994099550173,5.3972846692797765
0.5868927239702746,5.3588128445438965
0.7019321870970326,5.202670689673488
0.7743122545847015,5.113159114941496
0.950804441699382,5.029127990595905
0.7198271505703188,4.91471663136307
0.833967633686231,4.668401557600137
0.801857917975693,4.618622745051559
0.7641911417659656,4.575066405248204
0.6699458384221143,4.5406560886916365
0.6745517843854439,4.503314035351238
0.7533510617460265,4.473930959690631
0.6210929617442852,4.4326268466851255
0.58764064814914,4.352859047755191
0.47405728515807194,4.313016618736532
0.4833897356541212,4.280760059265667
0.5668797329784807,4.221609787095511
0.5248431304043734,4.157616757265568
0.5341170653462332,4.1339620967148125
0.5509814652653976,4.107913792573385
0.6516175365316489,4.0465095559397195
0.5840383070446378,3.9878199086052986
0.5359119731877313,3.9458511681011488
0.5935838227117097,3.9092632771224296
0.5696220196059866,3.8945059017880292
0.5607094664833822,3.847903592505605
0.5575992352756041,3.812219696958718
0.6118084349964709,3.7605024802971863
0.6115397226045204,3.751470836631585
0.610793820417952,3.6526561315143655
0.5377405984720497,3.5704027855657
0.5431586646533555,3.5433452878484393
0.559216575480863,3.5117861498724294
0.5154717540741725,3.5020685005834764
0.5952380037361084,3.4439129239360717
0.706568577392025,3.4384141123559657
0.6000704228610416,3.3917697588889113
0.6493759127251759,3.343946871305616
0.43352896876978275,3.3280783164220327
0.46692410674490503,3.3184423674826724
0.6363665342513003,3.2522227991130643
0.534468959209636,3.1296494960650283
0.5749267757781358,3.060761939762984
0.7119590962666987,3.020238489291098
0.6224071684094088,2.9428913495065134
0.7549081062447298,2.888780531739175
0.6181045632534453,2.840425266760919
0.6583193680573028,2.8235147847981255
0.7044182194872899,2.780444848248918
0.7973978718414058,2.7582099742706676
0.6893765619140593,2.71538295581504
0.5559805817184027,2.682457947033053
0.7699692616141594,2.6533516568122226
0.5931867667448735,2.554523948509964
0.6980474488463627,2.490215231380435
0.7268773547318079,2.471687841974926
0.5977506931042058,2.4585048573220907
0.612220008832006,2.444545079674374
0.5900355716485607,2.436989224453704
0.6672972978186443,2.4148501533411864
0.7423609979237739,2.384772658379373
0.621176602499302,2.269998714632026
0.6535198687496738,2.1700206295409563
0.7496159272196515,2.1505476057887565
0.667916418847467,2.107897702361542
0.7061085706143494,2.0526155517969693
0.6576523937072761,1.9852299563970461
0.615685265220406,1.9675442469366915
0.6351521110533509,1.947655012312901
0.6189765549750558,1.9333923816094691
0.7520369715931797,1.9109625756563808
0.5523547834397554,1.8733600152371077
0.5313206768387169,1.8671493437219637
0.5398819521165427,1.8307760111939444
0.6621157831203316,1.8041113821333519
0.6496418559066633,1.7114634371154045
0.5656699513836531,1.6763141433308342
0.7895070109784117,1.6440798841620323
0.6757168191320936,1.617415226413201
0.6198125150952327,1.5987661284072372
0.5205707634228983,1.5864894436770969
0.6671444520614184,1.5230848309441973
0.6297931962261366,1.506986160817571
0.601547109065292,1.5044551210264276
0.5999650557591218,1.382609148616847
0.6197468415634128,1.296123328490781
0.7244677560724027,1.2733927681313881
0.5500496353702398,1.2551664943072542
0.4974281338873805,1.2363982507665205
0.5767151464642959,1.2046592981418676
0.704685222642115,1.1849076173198942
0.6434275048362167,1.1640141002063278
0.5226658076053072,1.1519346071550336
0.5371245562911483,1.0950726530455677
0.6225512364348794,1.086047629610656
0.5619946730612259,1.0603076068656103
0.6570383929966227,0.9071347025879768
0.7215359157588785,0.8748971622792238
0.8568405481941093,0.7997142070649387
0.5788463186260864,0.7737491388344242
0.5762744653512594,0.7284846005580631
0.6716812966234466,0.6809353794690294
0.8393621123316288,0.5912770542382436
0.6946145742512881,0.5401523089076045
0.636235619390408,0.5189522140212007
0.6426698142758691,0.4997024886514909
0.6934945310579591,0.4253231787473837
0.5904026034768951,0.3996245972389354
0.5324905864947146,0.3759080994456304
0.5551847015174796,0.3464694285180214
0.5918328429233823,0.3365057340778634
0.542501567249901,0.2863152221326497
0.6161178425996563,0.268357175273417
0.7202307042962317,0.26086757899039953
0.5964617103490365,0.24431624404092447
0.622189417187,0.23235532570543288
0.672249465453873,0.17335616489236302
0.7878459887071119,0.13937303611697713
0.6779256483634525,0.10634070726240717
0.5783163251463695,0.06863258328465431
0.6670787012073804,0.06372957086392197
0.6664377471936632,0.06111034971897729
0.6232177669838757,0.057389524770178335
0.6521627806653665,0.053755356815844244
0.7133806418713643,0.05204020051426237
0.756049785066693,0.050329899555466566
0.5903992529430764,0.03955930410202485
0.7942006977040063,0.03431375783463561
0.8864452193877193,0.02606344805760262
0.8307543199174142,0.010300716883874229
0.9994463045981232,1.1314383426239135e-15
